suburb,state,postcode
Macquarie Fields,NSW,2564
Macquarie Hills,NSW,2285
Macquarie Links,NSW,2565
Macquarie Marshes,NSW,2831
Macquarie Park,NSW,2113
Macquarie Pass,NSW,2577
Maddens Plains,NSW,2508
Maffra,NSW,2630
Magenta,NSW,2261
Magometon,NSW,2829
Maianbar,NSW,2230
Maimuru,NSW,2594
Main Arm,NSW,2482
Main Creek,NSW,2420
Mairjimmy,NSW,2716
Maison Dieu,NSW,2330
Maitland,NSW,2320
Maitland Bar,NSW,2850
Maitland Vale,NSW,2320
Majors Creek,NSW,2622
Malabar,NSW,2036
Malabugilmah,NSW,2460
Maldon,NSW,2571
Mallabula,NSW,2319
Mallan,NSW,2734
Mallanganee,NSW,2469
Mallee,NSW,2738
Mallowa,NSW,2400
Maloneys Beach,NSW,2536
Malua Bay,NSW,2536
Manar,NSW,2622
Manchester Square,NSW,2577
Mandagery,NSW,2870
Mandalong,NSW,2264
Mandemar,NSW,2575
Mandurama,NSW,2792
Mangerton,NSW,2500
Mangoola,NSW,2333
Mangoplah,NSW,2652
Mangrove Creek,NSW,2250
Mangrove Mountain,NSW,2250
Manildra,NSW,2865
Manilla,NSW,2346
Manly,NSW,2095
Manly Vale,NSW,2093
Mannering Park,NSW,2259
Manning Point,NSW,2430
Mannus,NSW,2653
Manobalai,NSW,2333
Manton,NSW,2582
Manyana,NSW,2539
Maragle,NSW,2653
Maraylya,NSW,2765
Marayong,NSW,2148
March,NSW,2800
Marchmont,NSW,2582
Mardi,NSW,2259
Marengo,NSW,2453
Mares Run,NSW,2422
Marinna,NSW,2663
Marks Point,NSW,2280
Markwell,NSW,2423
Marlee,NSW,2429
Marley,NSW,2232
Marlo Merrican,NSW,2441
Marlow,NSW,2775
Marlowe,NSW,2622
Marmong Point,NSW,2284
Marom Creek,NSW,2480
Maroota,NSW,2756
Maroubra,NSW,2035
Marrangaroo,NSW,2790
Marrar,NSW,2652
Marrickville,NSW,2204
Marsden Park,NSW,2765
Marsfield,NSW,2122
Marshall Mount,NSW,2530
Marshdale,NSW,2420
Marthaguy,NSW,2824
Martindale,NSW,2328
Martins Creek,NSW,2420
Martinsville,NSW,2265
Marulan,NSW,2579
Maryland,NSW,2287
Maryland,NSW,4377
Marys Mount,NSW,2380
Maryvale,NSW,2820
Maryville,NSW,2293
Mascot,NSW,2020
Matcham,NSW,2250
Matheson,NSW,2370
Mathoura,NSW,2710
Matong,NSW,2652
Matraville,NSW,2036
Maude,NSW,2711
Maules Creek,NSW,2382
Maxwell,NSW,2650
Maybole,NSW,2365
Mayers Flat,NSW,2423
Mayfield,NSW,2304
Mayfield,NSW,2540
Mayfield,NSW,2580
Mayfield,NSW,2787
Mayfield East,NSW,2304
Mayfield North,NSW,2304
Mayfield West,NSW,2304
Mayrung,NSW,2710
Mays Hill,NSW,2145
Mayvale,NSW,2347
Mccarrs Creek,NSW,2105
Mccullys Gap,NSW,2333
Mcdougalls Hill,NSW,2330
Mcgraths Hill,NSW,2756
Mckees Hill,NSW,2480
Mckellars Park,NSW,2790
Mcleans Ridges,NSW,2480
Mcleods Shoot,NSW,2479
Mcmahons Point,NSW,2060
Mcmahons Reef,NSW,2587
Meadow Flat,NSW,2795
Meadowbank,NSW,2114
Mebbin,NSW,2484
Mebul,NSW,2852
Medlow Bath,NSW,2780
Medowie,NSW,2318
Medway,NSW,2577
Meerschaum Vale,NSW,2477
Megalong Valley,NSW,2785
Megan,NSW,2453
Melbergen,NSW,2669
Melinga,NSW,2430
Mellong,NSW,2756
Mellool,NSW,2734
Melonba,NSW,2765
Melrose Park,NSW,2114
Melville,NSW,2320
Memagong,NSW,2594
Menah,NSW,2850
Menai,NSW,2234
Menangle,NSW,2568
Menangle Park,NSW,2563
Mendooran,NSW,2842
Menindee,NSW,2879
Merah North,NSW,2388
Merewether,NSW,2291
Merewether Heights,NSW,2291
Merimbula,NSW,2548
Meringo,NSW,2537
Mernot,NSW,2422
Meroo,NSW,2850
Meroo Meadow,NSW,2540
Merotherie,NSW,2852
Merriangaah,NSW,2632
Merricumbene,NSW,2622
Merrigal,NSW,2827
Merrill,NSW,2581
Merriwa,NSW,2329
Merriwagga,NSW,2652
Merrygoen,NSW,2831
Merrylands,NSW,2160
Merrylands West,NSW,2160
Merungle Hill,NSW,2705
Meryla,NSW,2577
Metford,NSW,2323
Methul,NSW,2701
Metz,NSW,2350
Miamley,NSW,2873
Miandetta,NSW,2825
Micalo Island,NSW,2464
Michelago,NSW,2620
Middle Arm,NSW,2580
Middle Brook,NSW,2337
Middle Brother,NSW,2443
Middle Cove,NSW,2068
Middle Dural,NSW,2158
Middle Falbrook,NSW,2330
Middle Flat,NSW,2630
Middle Pocket,NSW,2483
Middleton Grange,NSW,2171
Middlingbank,NSW,2630
Midginbil,NSW,2484
Mihi,NSW,2358
Mila,NSW,2632
Milbrodale,NSW,2330
Milbrulong,NSW,2656
Milkers Flat,NSW,2795
Millah Murrah,NSW,2795
Millbank,NSW,2440
Miller,NSW,2168
Millers Forest,NSW,2324
Millers Point,NSW,2000
Millfield,NSW,2325
Millie,NSW,2397
Millingandi,NSW,2549
Millthorpe,NSW,2798
Milparinka,NSW,2880
Milperra,NSW,2214
Milroy,NSW,2380
Milroy,NSW,2850
Milsons Passage,NSW,2083
Milsons Point,NSW,2061
Milton,NSW,2538
Milvale,NSW,2594
Mimosa,NSW,2666
Minchinbury,NSW,2770
Mindaribba,NSW,2320
Mingoola,NSW,4380
Minimbah,NSW,2312
Minjary,NSW,2720
Minmi,NSW,2287
Minnamurra,NSW,2533
Minnie Water,NSW,2462
Minore,NSW,2830
Minto,NSW,2566
Minto Heights,NSW,2566
Mirador,NSW,2548
Miranda,NSW,2228
Mirannie,NSW,2330
Mirrabooka,NSW,2264
Mirrool,NSW,2665
Missabotti,NSW,2449
Mitchell,NSW,2795
Mitchells Flat,NSW,2330
Mitchells Island,NSW,2430
Mittagong,NSW,2575
Moama,NSW,2731
Modanville,NSW,2480
Mogareeka,NSW,2550
Mogendoura,NSW,2537
Moggs Swamp,NSW,2370
Mogilla,NSW,2550
Mogo,NSW,2536
Mogo,NSW,2850
Mogo Creek,NSW,2775
Mogood,NSW,2538
Mograni,NSW,2422
Mogriguy,NSW,2830
Mole River,NSW,2372
Moleville Creek,NSW,2460
Mollyan,NSW,2842
Mollymook,NSW,2539
Mollymook Beach,NSW,2539
Molong,NSW,2866
Mona Vale,NSW,2103
Monak,NSW,2738
Monaltrie,NSW,2480
Mondayong,NSW,2540
Mondrook,NSW,2430
Monga,NSW,2622
Mongarlowe,NSW,2622
Mongogarie,NSW,2470
Monia Gap,NSW,2675
Monivae,NSW,2850
Monkerai,NSW,2415
Monteagle,NSW,2594
Montecollum,NSW,2482
Montefiores,NSW,2820
Monterey,NSW,2217
Mooball,NSW,2483
Moobi,NSW,2337
Moogem,NSW,2370
Mookerawa,NSW,2820
Mookima Wybra,NSW,2469
Moolarben,NSW,2850
Moollattoo,NSW,2540
Moolpa,NSW,2734
Moombooldool,NSW,2665
Moonan Brook,NSW,2337
Moonan Flat,NSW,2337
Moonbah,NSW,2627
Moonbi,NSW,2353
Moonbria,NSW,2710
Mooneba,NSW,2440
Moonee,NSW,2259
Moonee Beach,NSW,2450
Mooney Mooney,NSW,2083
Mooney Mooney Creek,NSW,2250
Moonpar,NSW,2453
Mooral Creek,NSW,2429
Moorara,NSW,2648
Moorbel,NSW,2804
Moore Creek,NSW,2340
Moore Park,NSW,2021
Moorebank,NSW,2170
Moorilda,NSW,2795
Moorland,NSW,2443
Moorong,NSW,2650
Moorwatha,NSW,2640
Moparrabah,NSW,2440
Moppy,NSW,2422
Morago,NSW,2710
Morangarell,NSW,2666
Morans Crossing,NSW,2550
Moree,NSW,2400
Morisset,NSW,2264
Morisset Park,NSW,2264
Morning Bay,NSW,2105
Mororo,NSW,2469
Morpeth,NSW,2321
Mortdale,NSW,2223
Mortlake,NSW,2137
Morton,NSW,2538
Mortons Creek,NSW,2446
Morts Estate,NSW,2790
Morundah,NSW,2700
Moruya,NSW,2537
Moruya Heads,NSW,2537
Morven,NSW,2370
Morven,NSW,2660
Mosman,NSW,2088
Moss Vale,NSW,2577
Mossgiel,NSW,2878
Mossy Point,NSW,2537
Moto,NSW,2426
Moulamein,NSW,2733
Mount Adrah,NSW,2722
Mount Annan,NSW,2567
Mount Aquila,NSW,2820
Mount Arthur,NSW,2820
Mount Austin,NSW,2650
Mount Burrell,NSW,2484
Mount Colah,NSW,2079
Mount Collins,NSW,2794
Mount Cooper,NSW,2631
Mount Darragh,NSW,2632
Mount David,NSW,2795
Mount Dee,NSW,2320
Mount Druitt,NSW,2770
Mount Elliot,NSW,2250
Mount Fairy,NSW,2580
Mount Foster,NSW,2824
Mount Frome,NSW,2850
Mount George,NSW,2424
Mount Harris,NSW,2824
Mount Hope,NSW,2877
Mount Horeb,NSW,2729
Mount Hunter,NSW,2570
Mount Hutton,NSW,2290
Mount Irvine,NSW,2786
Mount Keira,NSW,2500
Mount Kembla,NSW,2526
Mount Kingiman,NSW,2539
Mount Knowles,NSW,2850
Mount Kuring-Gai,NSW,2080
Mount Lambie,NSW,2790
Mount Lewis,NSW,2190
Mount Lindsey,NSW,2575
Mount Marsden,NSW,2849
Mount Marsh,NSW,2469
Mount Mitchell,NSW,2365
Mount Murray,NSW,2577
Mount Olive,NSW,2330
Mount Olive,NSW,2787
Mount Ousley,NSW,2519
Mount Panorama,NSW,2795
Mount Pleasant,NSW,2519
Mount Pritchard,NSW,2170
Mount Rankin,NSW,2795
Mount Rivers,NSW,2311
Mount Riverview,NSW,2774
Mount Royal,NSW,2330
Mount Russell,NSW,2360
Mount Saint Thomas,NSW,2500
Mount Seaview,NSW,2446
Mount Tenandra,NSW,2828
Mount Thorley,NSW,2330
Mount Tomah,NSW,2758
Mount Vernon,NSW,2178
Mount Victoria,NSW,2786
Mount View,NSW,2325
Mount Vincent,NSW,2323
Mount Warning,NSW,2484
Mount Warrigal,NSW,2528
Mount Werong,NSW,2787
Mount White,NSW,2250
Mount Wilson,NSW,2786
Mountain Creek,NSW,2644
Mountain Lagoon,NSW,2758
Mountain Top,NSW,2480
Mountain View,NSW,2460
Mourquong,NSW,2739
Mowbray Park,NSW,2571
Mozart,NSW,2787
Mudgee,NSW,2850
Mulbring,NSW,2323
Mulgoa,NSW,2745
Mulgrave,NSW,2756
Mulguthrie,NSW,2877
Muli Muli,NSW,2476
Mulla,NSW,2825
Mulla Creek,NSW,2352
Mullaley,NSW,2379
Mullamuddy,NSW,2850
Mullaway,NSW,2456
Mullengandra,NSW,2644
Mullengudgery,NSW,2825
Mullion,NSW,2582
Mullion Creek,NSW,2800
Mulloon,NSW,2622
Mullumbimby,NSW,2482
Mullumbimby Creek,NSW,2482
Mulwala,NSW,2647
Mulyandry,NSW,2871
Mumbil,NSW,2820
Mumblebone Plain,NSW,2824
Mumbulla Mountain,NSW,2550
Mummel,NSW,2580
Mummulgum,NSW,2469
Mundamia,NSW,2540
Mundarlo,NSW,2729
Munderoo,NSW,2653
Mundongo,NSW,2720
Mungay Creek,NSW,2440
Munghorn,NSW,2850
Mungindi,NSW,2406
Mungo,NSW,2715
Mungo Brush,NSW,2423
Munni,NSW,2420
Munyabla,NSW,2658
Munyang,NSW,2624
Murga,NSW,2864
Murrah,NSW,2546
Murrami,NSW,2705
Murrawombie,NSW,2825
Murray Downs,NSW,2734
Murray Gorge,NSW,2642
Murrays Beach,NSW,2281
Murrays Run,NSW,2325
Murrengenburg,NSW,2622
Murrin Bridge,NSW,2672
Murringo,NSW,2586
Murrulebale,NSW,2652
Murrumbateman,NSW,2582
Murrumbo,NSW,2849
Murrumbucca,NSW,2630
Murrumburrah,NSW,2587
Murrurundi,NSW,2338
Murulla,NSW,2337
Murwillumbah,NSW,2484
Muscle Creek,NSW,2333
Muswellbrook,NSW,2333
Mutawintji,NSW,2880
Muttama,NSW,2722
Myall Creek,NSW,2403
Myall Lake,NSW,2423
Myall Park,NSW,2681
Myalla,NSW,2630
Mylestom,NSW,2454
Mylneford,NSW,2460
Myocum,NSW,2481
Myola,NSW,2540
Myrtle Creek,NSW,2469
Myrtle Mountain,NSW,2550
Myrtle Park,NSW,2713
Myrtleville,NSW,2580
Mystery Bay,NSW,2546
Myuna Bay,NSW,2264
Nabiac,NSW,2312
Nadgee,NSW,2551
Nambucca Heads,NSW,2448
Namoi River,NSW,2346
Nana Glen,NSW,2450
Nangus,NSW,2722
Nanima,NSW,2582
Napoleon Reef,NSW,2795
Naradhan,NSW,2669
Narara,NSW,2250
Narellan,NSW,2567
Narellan Vale,NSW,2567
Naremburn,NSW,2065
Narooma,NSW,2546
Narrabarba,NSW,2551
Narrabeen,NSW,2101
Narrabri,NSW,2390
Narraburra,NSW,2666
Narran Lake,NSW,2839
Narrandera,NSW,2700
Narrangullen,NSW,2582
Narrawa,NSW,2583
Narrawallee,NSW,2539
Narraweena,NSW,2099
Narromine,NSW,2821
Narwee,NSW,2209
Nashdale,NSW,2800
Nashua,NSW,2479
Nattai,NSW,2570
Naughtons Gap,NSW,2470
Neath,NSW,2326
Nebea,NSW,2829
Neilrex,NSW,2831
Nelligen,NSW,2536
Nelson,NSW,2550
Nelson,NSW,2765
Nelson Bay,NSW,2315
Nelsons Plains,NSW,2324
Nelungaloo,NSW,2876
Nemingha,NSW,2340
Nericon,NSW,2680
Neringla,NSW,2622
Nerong,NSW,2423
Nerriga,NSW,2622
Nerrigundah,NSW,2545
Nethercote,NSW,2549
Neurea,NSW,2820
Neutral Bay,NSW,2089
Never Never,NSW,2453
Nevertire,NSW,2826
Neville,NSW,2799
New Berrima,NSW,2577
New Brighton,NSW,2483
New Buildings,NSW,2550
New Italy,NSW,2472
New Lambton,NSW,2305
New Lambton Heights,NSW,2305
New Mexico,NSW,2346
New Park,NSW,2474
New Valley,NSW,2365
Newbold,NSW,2460
Newbridge,NSW,2795
Newcastle,NSW,2300
Newcastle East,NSW,2300
Newcastle West,NSW,2302
Newee Creek,NSW,2447
Newington,NSW,2127
Newnes,NSW,2790
Newnes Plateau,NSW,2790
Newport,NSW,2106
Newrybar,NSW,2479
Newstead,NSW,2360
Newton Boyd,NSW,2370
Newtown,NSW,2042
Ngarigo,NSW,2627
Niagara Park,NSW,2250
Niangala,NSW,2354
Niemur,NSW,2733
Nightcap,NSW,2480
Nimbin,NSW,2480
Nimmitabel,NSW,2631
Nimmo,NSW,2628
Nirimba Fields,NSW,2763
Nobbys Creek,NSW,2484
Nombi,NSW,2379
Noona,NSW,2835
Noorong,NSW,2732
Nooroo,NSW,2415
Norah Head,NSW,2263
Noraville,NSW,2263
Nords Wharf,NSW,2281
Normanhurst,NSW,2076
North Albury,NSW,2640
North Arm,NSW,2484
North Arm Cove,NSW,2324
North Avoca,NSW,2260
North Balgowlah,NSW,2093
North Batemans Bay,NSW,2536
North Boambee Valley,NSW,2450
North Bondi,NSW,2026
North Bourke,NSW,2840
North Brother,NSW,2443
North Casino,NSW,2470
North Curl Curl,NSW,2099
North Dorrigo,NSW,2453
North Epping,NSW,2121
North Gosford,NSW,2250
North Haven,NSW,2443
North Kellyville,NSW,2155
North Lambton,NSW,2299
North Lismore,NSW,2480
North Macksville,NSW,2447
North Manly,NSW,2100
North Narooma,NSW,2546
North Narrabeen,NSW,2101
North Nowra,NSW,2541
North Parramatta,NSW,2151
North Richmond,NSW,2754
North Rocks,NSW,2151
North Rothbury,NSW,2335
North Ryde,NSW,2113
North Shore,NSW,2444
North St Marys,NSW,2760
North Star,NSW,2408
North Strathfield,NSW,2137
North Sydney,NSW,2060
North Tamworth,NSW,2340
North Tumbulgum,NSW,2490
North Turramurra,NSW,2074
North Wagga Wagga,NSW,2650
North Wahroonga,NSW,2076
North Willoughby,NSW,2068
North Wollongong,NSW,2500
North Woodburn,NSW,2471
North Yalgogrin,NSW,2671
North Yeoval,NSW,2868
Northangera,NSW,2622
Northbridge,NSW,2063
Northmead,NSW,2152
Northwood,NSW,2066
Norway,NSW,2787
Norwest,NSW,2153
Nowendoc,NSW,2354
Nowley,NSW,2386
Nowra,NSW,2541
Nowra Hill,NSW,2540
Nubba,NSW,2587
Nulkaba,NSW,2325
Nullamanna,NSW,2360
Nullica,NSW,2551
Nullo Mountain,NSW,2849
Numbaa,NSW,2540
Number One,NSW,2424
Numbla Vale,NSW,2628
Numbugga,NSW,2550
Numeralla,NSW,2630
Numinbah,NSW,2484
Numulgi,NSW,2480
Nunderi,NSW,2484
Nundle,NSW,2340
Nungar,NSW,2629
Nungatta,NSW,2551
Nungatta South,NSW,2551
Nurenmerenmong,NSW,2649
Nymagee,NSW,2831
Nymboida,NSW,2460
Nyngan,NSW,2825
Nyora,NSW,2646
Nyrang Creek,NSW,2804
O'connell,NSW,2795
Oak Flats,NSW,2529
Oakdale,NSW,2570
Oakey Park,NSW,2790
Oakhampton,NSW,2320
Oakhampton Heights,NSW,2320
Oakhurst,NSW,2761
Oaklands,NSW,2646
Oakville,NSW,2765
Oakwood,NSW,2360
Oallen,NSW,2622
Oatlands,NSW,2117
Oatley,NSW,2223
Oban,NSW,2365
Obanvale,NSW,2330
Oberne Creek,NSW,2650
Oberon,NSW,2787
Obley,NSW,2868
Ocean Shores,NSW,2483
Ogunbil,NSW,2340
Old Adaminaby,NSW,2629
Old Bar,NSW,2430
Old Bonalbo,NSW,2469
Old Erowal Bay,NSW,2540
Old Grevillia,NSW,2474
Old Guildford,NSW,2161
Old Junee,NSW,2652
Old Mill,NSW,2369
Old Station,NSW,2440
Old Toongabbie,NSW,2146
Olinda,NSW,2849
Olney,NSW,2325
Omadale,NSW,2337
One Mile,NSW,2316
One Tree,NSW,2711
Oolong,NSW,2581
Ooma,NSW,2871
Ootha,NSW,2875
Ophir,NSW,2800
Oran Park,NSW,2570
Orange,NSW,2800
Orange Grove,NSW,2380
Orangeville,NSW,2570
Orchard Hills,NSW,2748
Orient Point,NSW,2540
Orton Park,NSW,2795
Osborne,NSW,2656
Osterley,NSW,2324
Oswald,NSW,2321
Otford,NSW,2508
Oura,NSW,2650
Ourimbah,NSW,2258
Ournie,NSW,2640
Owens Gap,NSW,2337
Oxford Falls,NSW,2099
Oxley,NSW,2711
Oxley,NSW,2824
Oxley Island,NSW,2430
Oxley Park,NSW,2760
Oxley Vale,NSW,2340
Oyster Bay,NSW,2225
Oyster Cove,NSW,2318
Packsaddle,NSW,2880
Paddington,NSW,2021
Paddys Flat,NSW,2469
Paddys Flat,NSW,2632
Paddys River,NSW,2577
Paddys River,NSW,2653
Padstow,NSW,2211
Padstow Heights,NSW,2211
Pagans Flat,NSW,2469
Pages Creek,NSW,2337
Pages River,NSW,2338
Pagewood,NSW,2035
Palarang,NSW,2632
Palerang,NSW,2622
Paling Yards,NSW,2580
Paling Yards,NSW,2795
Pallal,NSW,2404
Pallamallawa,NSW,2399
Palm Beach,NSW,2108
Palm Grove,NSW,2258
Palmdale,NSW,2258
Palmers Channel,NSW,2463
Palmers Island,NSW,2463
Palmers Oaky,NSW,2795
Palmvale,NSW,2484
Palmwoods,NSW,2482
Palona,NSW,2232
Pambula,NSW,2549
Pambula Beach,NSW,2549
Pampoolah,NSW,2430
Pan Ban,NSW,2648
Panania,NSW,2213
Pangee,NSW,2825
Panuara,NSW,2800
Pappinbarra,NSW,2446
Para,NSW,2648
Paradise,NSW,2360
Paringi,NSW,2738
Parkes,NSW,2870
Parkesbourne,NSW,2580
Parklea,NSW,2768
Parkville,NSW,2337
Parma,NSW,2540
Parramatta,NSW,2150
Parraweena,NSW,2339
Patchs Beach,NSW,2478
Paterson,NSW,2421
Patonga,NSW,2256
Paupong,NSW,2628
Paxton,NSW,2325
Paynes Crossing,NSW,2325
Paytens Bridge,NSW,2871
Peacock Creek,NSW,2469
Peak Hill,NSW,2869
Peak View,NSW,2630
Peakhurst,NSW,2210
Peakhurst Heights,NSW,2210
Pearces Creek,NSW,2477
Pearl Beach,NSW,2256
Peats Ridge,NSW,2250
Pebbly Beach,NSW,2536
Peel,NSW,2795
Peelwood,NSW,2583
Pejar,NSW,2583
Pelaw Main,NSW,2327
Pelican,NSW,2281
Pelton,NSW,2325
Pembrooke,NSW,2446
Pemulwuy,NSW,2145
Pendle Hill,NSW,2145
Pennant Hills,NSW,2120
Penrith,NSW,2750
Penrose,NSW,2579
Penshurst,NSW,2222
Pericoe,NSW,2550
Perisher Valley,NSW,2624
Perrys Crossing,NSW,2775
Perthville,NSW,2795
Petersham,NSW,2049
Pheasants Nest,NSW,2574
Phegans Bay,NSW,2256
Phillip Bay,NSW,2036
Phoenix Park,NSW,2321
Piallamore,NSW,2340
Piallaway,NSW,2342
Piambong,NSW,2850
Picketts Valley,NSW,2251
Picnic Point,NSW,2213
Picton,NSW,2571
Pigeonbah,NSW,2824
Piggabeen,NSW,2486
Pikapene,NSW,2469
Pillar Valley,NSW,2462
Pilliga,NSW,2388
Pilot Wilderness,NSW,2627
Pimlico,NSW,2478
Pimlico Island,NSW,2478
Pinbeyan,NSW,2720
Pindaroi,NSW,2361
Pindimar,NSW,2324
Pine Camp,NSW,2648
Pine Clump,NSW,2824
Pine Grove,NSW,2829
Pine Lodge,NSW,2714
Pine Ridge,NSW,2343
Pine Valley,NSW,2630
Piney Range,NSW,2810
Pinkett,NSW,2370
Pinnacle,NSW,2810
Pinnacle Swamp,NSW,2849
Pinny Beach,NSW,2281
Piora,NSW,2470
Pipeclay,NSW,2446
Pitnacree,NSW,2323
Pitt Town,NSW,2756
Pitt Town Bottoms,NSW,2756
Pleasant Hills,NSW,2658
Pleasure Point,NSW,2172
Plumpton,NSW,2761
Point Clare,NSW,2250
Point Frederick,NSW,2250
Point Piper,NSW,2027
Point Wolstoncroft,NSW,2259
Pointer Mountain,NSW,2539
Pokolbin,NSW,2320
Pola Creek,NSW,2440
Polo Flat,NSW,2630
Pomeroy,NSW,2580
Pomona,NSW,2648
Ponto,NSW,2818
Pooncarie,NSW,2648
Port Botany,NSW,2036
Port Hacking,NSW,2229
Port Kembla,NSW,2505
Port Macquarie,NSW,2444
Porters Creek,NSW,2538
Porters Retreat,NSW,2787
Portland,NSW,2847
Possum Brush,NSW,2430
Possum Creek,NSW,2479
Potato Point,NSW,2545
Pottery Estate,NSW,2790
Potts Hill,NSW,2143
Potts Point,NSW,2011
Pottsville,NSW,2489
Prairiewood,NSW,2176
Premer,NSW,2381
Prestons,NSW,2170
Pretty Beach,NSW,2257
Pretty Beach,NSW,2539
Pretty Pine,NSW,2710
Primbee,NSW,2502
Primrose Valley,NSW,2621
Prospect,NSW,2148
Providence Portal,NSW,2629
Pucawan,NSW,2666
Puddledock,NSW,2350
Pulganbar,NSW,2460
Pullabooka,NSW,2810
Pulletop,NSW,2650
Pumpenbil,NSW,2484
Punchbowl,NSW,2196
Punchbowl,NSW,2460
Purfleet,NSW,2430
Purlewaugh,NSW,2357
Putney,NSW,2112
Putta Bucca,NSW,2850
Putty,NSW,2330
Pyangle,NSW,2849
Pymble,NSW,2073
Pyramul,NSW,2850
Pyree,NSW,2540
Pyrmont,NSW,2009
Quaama,NSW,2550
Quakers Hill,NSW,2763
Quambone,NSW,2831
Quanda,NSW,2828
Quandary,NSW,2665
Quandialla,NSW,2721
Queanbeyan,NSW,2620
Queanbeyan East,NSW,2620
Queanbeyan West,NSW,2620
Queens Park,NSW,2022
Queens Pinch,NSW,2850
Queenscliff,NSW,2096
Quialigo,NSW,2580
Quidong,NSW,2632
Quiera,NSW,2622
Quipolly,NSW,2343
Quirindi,NSW,2343
Quorrobolong,NSW,2325
Raby,NSW,2566
Raglan,NSW,2795
Rainbow Flat,NSW,2430
Rainbow Reach,NSW,2440
Raleigh,NSW,2454
Ramornie,NSW,2460
Ramsgate,NSW,2217
Ramsgate Beach,NSW,2217
Rand,NSW,2642
Randwick,NSW,2031
Rangari,NSW,2380
Rangers Valley,NSW,2370
Rankin Park,NSW,2287
Rankins Springs,NSW,2669
Rannock,NSW,2701
Rappville,NSW,2469
Rathmines,NSW,2283
Ravensdale,NSW,2259
Ravenswood,NSW,2824
Ravensworth,NSW,2330
Rawdon Island,NSW,2446
Rawdon Vale,NSW,2422
Raworth,NSW,2321
Rawsonville,NSW,2830
Raymond Terrace,NSW,2324
Razorback,NSW,2571
Red Head,NSW,2430
Red Hill,NSW,2347
Red Hill,NSW,2720
Red Hill,NSW,2824
Red Range,NSW,2370
Red Rock,NSW,2456
Red Rocks,NSW,2577
Redbank,NSW,2446
Redbournberry,NSW,2330
Reddestone,NSW,2370
Redfern,NSW,2016
Redhead,NSW,2290
Redlands,NSW,2646
Reedy Creek,NSW,2330
Reedy Swamp,NSW,2550
Reefton,NSW,2666
Regents Park,NSW,2143
Regentville,NSW,2745
Reids Flat,NSW,2586
Reidsdale,NSW,2622
Rennie,NSW,2646
Reno,NSW,2722
Renwick,NSW,2575
Repentance Creek,NSW,2480
Repton,NSW,2454
Reserve Creek,NSW,2484
Retreat,NSW,2355
Revesby,NSW,2212
Revesby Heights,NSW,2212
Rhine Falls,NSW,2630
Rhodes,NSW,2138
Richards,NSW,2765
Richlands,NSW,2580
Richmond,NSW,2753
Richmond Hill,NSW,2480
Richmond Lowlands,NSW,2753
Richmond Vale,NSW,2323
Rileys Hill,NSW,2472
Ringwood,NSW,2646
Riverlea,NSW,2850
Riverside,NSW,2444
Riverstone,NSW,2765
Rivertree,NSW,2372
Riverview,NSW,2066
Riverwood,NSW,2210
Rixs Creek,NSW,2330
Rob Roy,NSW,2360
Robertson,NSW,2577
Robin Hill,NSW,2795
Rock Flat,NSW,2630
Rock Forest,NSW,2795
Rock Valley,NSW,2480
Rockdale,NSW,2216
Rockley,NSW,2795
Rockley Mount,NSW,2795
Rockton,NSW,2632
Rocky Creek,NSW,2371
Rocky Creek,NSW,2390
Rocky Glen,NSW,2357
Rocky Hall,NSW,2550
Rocky Plain,NSW,2628
Rocky Point,NSW,2259
Rocky River,NSW,2358
Rocky River,NSW,2372
Rodd Point,NSW,2046
Rollands Plains,NSW,2441
Rookhurst,NSW,2422
Rookwood,NSW,2140
Rooty Hill,NSW,2766
Ropes Crossing,NSW,2760
Rose Bay,NSW,2029
Rose Valley,NSW,2534
Rose Valley,NSW,2630
Rosebank,NSW,2480
Roseberg,NSW,2793
Roseberry,NSW,2474
Roseberry Creek,NSW,2474
Rosebery,NSW,2018
Rosebrook,NSW,2320
Rosedale,NSW,2536
Rosehill,NSW,2142
Roselands,NSW,2196
Rosemeadow,NSW,2560
Rosemeath,NSW,2632
Roseville,NSW,2069
Roseville Chase,NSW,2069
Rosewood,NSW,2446
Rosewood,NSW,2652
Roslyn,NSW,2580
Rossglen,NSW,2439
Rossgole,NSW,2336
Rossi,NSW,2621
Rossmore,NSW,2557
Rothbury,NSW,2320
Roto,NSW,2675
Rouchel,NSW,2336
Rouchel Brook,NSW,2336
Roughit,NSW,2330
Round Mountain,NSW,2484
Round Swamp,NSW,2846
Rous,NSW,2477
Rous Mill,NSW,2477
Rouse Hill,NSW,2155
Rowan,NSW,2650
Rowena,NSW,2387
Rowlands Creek,NSW,2484
Royalla,NSW,2620
Rozelle,NSW,2039
Ruby Creek,NSW,4380
Rufus,NSW,2648
Rugby,NSW,2583
Rukenvale,NSW,2474
Run-O-Waters,NSW,2580
Running Stream,NSW,2850
Runnyford,NSW,2536
Ruse,NSW,2560
Rushcutters Bay,NSW,2011
Rushes Creek,NSW,2346
Rushforth,NSW,2460
Russell Lea,NSW,2046
Russell Vale,NSW,2517
Rutherford,NSW,2320
Ruthven,NSW,2480
Ryan,NSW,2658
Rydal,NSW,2790
Rydalmere,NSW,2116
Ryde,NSW,2112
Rye Park,NSW,2586
Ryhope,NSW,2283
Rylstone,NSW,2849
Sackville,NSW,2756
Sackville North,NSW,2756
